Sample,Donor,Sample_type,score,proximity,model,standardized_beta,n_cells,n_fovs
278N,Donor278,N,noncytokine8,epithelial_mass_k20,adjusted,0.01153273244654383,537,10
278N,Donor278,N,noncytokine8,nearest_epithelial_mass,unadjusted,-0.0040633130385072285,537,10
278N,Donor278,N,noncytokine8,nearest_epithelial_mass,adjusted,0.01952918287328812,537,10
278N,Donor278,N,three_gene,epi_k20,unadjusted,-0.08704292718440258,537,10
278N,Donor278,N,three_gene,epi_k20,adjusted,0.01467034044295793,537,10
278N,Donor278,N,three_gene,nearest_epi,unadjusted,-0.13388474395063762,537,10
278N,Donor278,N,three_gene,nearest_epi,adjusted,-0.02299137516453292,537,10
278N,Donor278,N,three_gene,epithelial_mass_k20,unadjusted,-0.0006287671676313229,537,10
278N,Donor278,N,three_gene,epithelial_mass_k20,adjusted,0.01701221519980945,537,10
278N,Donor278,N,three_gene,nearest_epithelial_mass,unadjusted,-0.018172035341768075,537,10
278N,Donor278,N,three_gene,nearest_epithelial_mass,adjusted,0.023106375172208597,537,10
278T,Donor278,T,core13,epi_k20,unadjusted,-0.012174338114412228,738,16
278T,Donor278,T,core13,epi_k20,adjusted,0.020609457848012436,738,16
278T,Donor278,T,core13,nearest_epi,unadjusted,-0.031184330903411956,738,16
278T,Donor278,T,core13,nearest_epi,adjusted,0.00904930881566296,738,16
278T,Donor278,T,core13,epithelial_mass_k20,unadjusted,-0.04326975838267202,738,16
278T,Donor278,T,core13,epithelial_mass_k20,adjusted,-0.04014289408813144,738,16
278T,Donor278,T,core13,nearest_epithelial_mass,unadjusted,-0.03153753825227072,738,16
278T,Donor278,T,core13,nearest_epithelial_mass,adjusted,-0.048639112124857366,738,16
278T,Donor278,T,noncytokine8,epi_k20,unadjusted,-0.022169065258537166,738,16
278T,Donor278,T,noncytokine8,epi_k20,adjusted,-0.001983172451250283,738,16
278T,Donor278,T,noncytokine8,nearest_epi,unadjusted,-0.04975894417900676,738,16
